Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
2257.019,8,282.127,0.001,0.000,2256.671,797.836,[CUDA memcpy Device-to-Host]
2257.017,7,322.431,0.000,0.000,2256.671,852.920,[CUDA memset]
0.388,9,0.043,0.002,0.000,0.330,0.109,[CUDA memcpy Host-to-Device]
